Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by AGE10P - Age in Ten Year Groups by SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"SEXP Sex","Male"

"AGE10P - Age in Ten Year Groups","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","Total",
"SA3 (UR)",
"No Usual Address (OT)",8,0,3,3,8,17,
"Total",1619504,1612956,1550878,1458067,1213586,7454992,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
